Buy Date,Sell Date,Buy Price,Sell Price,Quantity,Profit
1996-02-15,1997-10-27,8.279536247253418,27.020063400268555,100,1874.0527153015137
1997-11-04,2005-07-28,25.288467407226562,218.3106689453125,100,19302.220153808594
2005-07-29,2006-01-18,50.223472595214844,79.28407287597656,100,2906.060028076172
2006-02-01,2006-03-16,80.5527114868164,87.83308410644531,100,728.0372619628906
2006-03-22,2006-04-03,88.29025268554688,94.72486877441406,100,643.4616088867188
2006-04-07,2006-04-18,95.2563247680664,101.86809539794922,100,661.1770629882812
2006-05-12,2006-06-16,121.9319839477539,105.33113098144531,100,-1660.0852966308594
2006-07-07,2006-07-12,117.90320587158203,125.49787902832031,100,759.4673156738281
2006-07-13,2006-08-11,122.91488647460938,115.54879760742188,100,-736.60888671875
2006-09-05,2006-09-22,128.68661499023438,132.12107849121094,100,343.44635009765625
2006-10-03,2006-10-13,132.78396606445312,136.0869903564453,100,330.30242919921875
2006-10-23,2006-10-27,136.447021484375,139.74432373046875,100,329.730224609375
2006-11-08,2006-11-10,143.12164306640625,146.8989715576172,100,377.73284912109375
2006-11-14,2006-12-05,146.2246551513672,146.24180603027344,100,1.715087890625
2006-12-08,2006-12-18,145.0531768798828,147.33328247070312,100,228.01055908203125
2006-12-19,2006-12-22,143.2702178955078,145.44175720214844,100,217.1539306640625
2006-12-28,2007-01-02,145.68748474121094,146.39610290527344,100,70.86181640625
2007-01-04,2007-01-05,146.3503875732422,147.22471618652344,100,87.432861328125
2007-01-08,2007-01-11,145.93321228027344,148.17904663085938,100,224.58343505859375
2007-01-31,2007-02-05,156.17373657226562,158.56243896484375,100,238.8702392578125
2007-02-09,2007-02-15,159.07102966308594,160.80255126953125,100,173.15216064453125
2007-02-26,2007-03-20,160.7568359375,151.20205688476562,100,-955.4779052734375
2007-04-02,2007-04-04,150.17343139648438,155.80801391601562,100,563.458251953125
2007-04-05,2007-04-09,155.3051300048828,158.21385192871094,100,290.8721923828125
2007-05-10,2007-05-14,180.74072265625,185.1809539794922,100,444.02313232421875
2007-05-15,2007-05-16,182.69509887695312,186.83245849609375,100,413.7359619140625
2007-06-06,2007-06-19,193.30136108398438,197.33013916015625,100,402.8778076171875
2007-06-28,2007-06-29,193.38136291503906,194.3585662841797,100,97.7203369140625
2007-07-02,2007-07-03,192.50132751464844,195.13003540039062,100,262.87078857421875
2007-07-30,2007-07-31,211.29656982421875,216.41111755371094,100,511.45477294921875
2007-08-01,2007-08-08,205.4676971435547,214.34815979003906,100,888.0462646484375
2007-08-10,2007-08-13,206.7592010498047,209.0621795654297,100,230.2978515625
2007-08-16,2007-08-24,198.7587890625,203.02186584472656,100,426.30767822265625
2007-10-19,2007-10-23,282.22021484375,297.1409912109375,100,1492.07763671875
2007-11-21,2007-11-23,309.6730651855469,321.2965087890625,100,1162.3443603515625
2007-12-17,2007-12-24,317.17059326171875,318.70782470703125,100,153.72314453125
2008-01-17,2008-02-01,342.48046875,290.61492919921875,100,-5186.553955078125
2008-02-07,2008-02-14,277.2085266113281,287.64337158203125,100,1043.4844970703125
2008-02-22,2008-02-25,278.2371520996094,291.6092834472656,100,1337.213134765625
2008-02-29,2008-03-12,281.5516052246094,271.3968200683594,100,-1015.478515625
2008-03-13,2008-03-14,256.36175537109375,265.4536437988281,100,909.1888427734375
2008-03-17,2008-03-25,249.17852783203125,264.4478759765625,100,1526.934814453125
2008-05-09,2008-05-15,288.974853515625,299.7811279296875,100,1080.62744140625
2008-05-23,2008-06-12,292.15216064453125,260.2762451171875,100,-3187.591552734375
2008-06-20,2008-06-26,239.9208984375,255.96173095703125,100,1604.083251953125
2008-06-30,2008-07-02,239.45802307128906,245.04116821289062,100,558.3145141601562
2008-07-03,2008-07-09,236.5950164794922,237.62936401367188,100,103.43475341796875
2008-07-10,2008-07-14,233.91488647460938,233.5491485595703,100,-36.57379150390625
2008-07-15,2008-07-17,226.00018310546875,230.7032928466797,100,470.31097412109375
2008-07-29,2008-07-30,238.080810546875,247.49844360351562,100,941.7633056640625
2008-08-18,2008-09-02,254.2759246826172,252.89871215820312,100,-137.72125244140625
2008-09-05,2008-09-08,237.82936096191406,243.80682373046875,100,597.7462768554688
2008-09-10,2008-09-19,238.0293731689453,234.88064575195312,100,-314.87274169921875
2008-09-29,2008-10-31,220.9084930419922,157.20236206054688,100,-6370.613098144531
2008-11-06,2008-11-10,133.7840118408203,148.93336486816406,100,1514.935302734375
2008-11-11,2008-12-04,138.0299530029297,132.4753875732422,100,-555.45654296875
2008-12-05,2008-12-10,127.7322769165039,140.25863647460938,100,1252.6359558105469
2008-12-22,2009-01-05,146.92755126953125,156.10516357421875,100,917.76123046875
2009-01-07,2009-01-16,137.23562622070312,139.13287353515625,100,189.7247314453125
2009-01-20,2009-01-27,135.28123474121094,140.1157684326172,100,483.453369140625
2009-02-16,2009-03-13,150.88775634765625,146.7789764404297,100,-410.87799072265625
2009-04-20,2009-04-23,196.0557861328125,201.57608032226562,100,552.0294189453125
2009-04-28,2009-04-29,198.54164123535156,206.43917846679688,100,789.7537231445312
2009-06-05,2009-06-09,252.89871215820312,259.6876220703125,100,678.8909912109375
2009-06-15,2009-06-29,249.0185089111328,238.52655029296875,100,-1049.1958618164062
2009-07-06,2009-07-15,216.37112426757812,214.4453125,100,-192.5811767578125
2009-07-28,2009-07-31,218.0226287841797,223.48577880859375,100,546.3150024414062
2009-08-17,2009-08-24,221.94854736328125,225.64588928222656,100,369.73419189453125
2009-09-02,2009-09-04,225.28587341308594,226.4287872314453,100,114.2913818359375
2009-09-22,2009-09-25,239.77804565429688,244.01254272460938,100,423.44970703125
2009-10-07,2009-10-12,240.16091918945312,247.9041748046875,100,774.3255615234375
2009-10-22,2009-11-09,244.035400390625,231.37188720703125,100,-1266.351318359375
2009-11-27,2009-11-30,239.08657836914062,243.09820556640625,100,401.1627197265625
2009-12-07,2009-12-08,241.15525817871094,246.94984436035156,100,579.4586181640625
2009-12-09,2009-12-23,245.0068817138672,243.7153778076172,100,-129.150390625
2010-01-20,2010-02-11,246.29837036132812,232.0462188720703,100,-1425.2151489257812
2010-02-19,2010-03-02,224.74298095703125,224.74298095703125,100,0.0
2010-04-15,2010-04-23,249.315673828125,248.7442169189453,100,-57.14569091796875
2010-04-26,2010-05-07,244.86973571777344,236.08070373535156,100,-878.9031982421875
2010-05-17,2010-05-24,232.36622619628906,233.76058959960938,100,139.43634033203125
2010-05-25,2010-05-27,225.30300903320312,233.66915893554688,100,836.614990234375
2010-06-07,2010-06-10,230.3546905517578,232.09193420410156,100,173.724365234375
2010-07-07,2010-07-13,240.8238067626953,245.56690979003906,100,474.310302734375
2010-07-20,2010-07-21,240.68666076660156,241.93243408203125,100,124.57733154296875
2010-07-28,2010-08-03,233.44056701660156,234.92636108398438,100,148.57940673828125
2010-08-04,2010-08-19,232.25193786621094,223.37147521972656,100,-888.0462646484375
2010-08-26,2010-09-06,218.62838745117188,217.759765625,100,-86.8621826171875
2010-09-28,2010-10-01,228.2403106689453,230.3889923095703,100,214.8681640625
2010-11-03,2010-11-04,243.50965881347656,252.59584045410156,100,908.6181640625
2010-11-11,2010-12-01,246.8469696044922,226.02304077148438,100,-2082.3928833007812
2010-12-09,2010-12-10,225.04014587402344,234.0463104248047,100,900.616455078125
2011-01-10,2011-02-03,236.22927856445312,215.75965881347656,100,-2046.9619750976562
2011-02-04,2011-02-07,210.29652404785156,212.36520385742188,100,206.86798095703125
2011-02-08,2011-02-14,209.21075439453125,209.10789489746094,100,-10.28594970703125
2011-03-18,2011-03-23,226.98309326171875,231.61190795898438,100,462.8814697265625
2011-04-08,2011-04-20,234.0463104248047,234.50347900390625,100,45.71685791015625
2011-04-25,2011-05-11,230.72042846679688,218.39979553222656,100,-1232.0632934570312
2011-05-12,2011-05-13,216.12539672851562,216.6968536376953,100,57.14569091796875
2011-05-17,2011-05-26,210.44509887695312,213.46240234375,100,301.7303466796875
2011-06-13,2011-06-27,211.5765838623047,199.22166442871094,100,-1235.491943359375
2011-07-01,2011-07-04,197.0272674560547,198.5016326904297,100,147.4365234375
2011-07-05,2011-07-07,193.36993408203125,199.02737426757812,100,565.7440185546875
2011-07-08,2011-07-13,195.40432739257812,197.8273162841797,100,242.29888916015625
2011-07-21,2011-07-22,196.7758331298828,199.63311767578125,100,285.72845458984375
2011-07-27,2011-08-23,196.7758331298828,174.92327880859375,100,-2185.2554321289062
2011-08-26,2011-08-29,164.44273376464844,172.59173583984375,100,814.9002075195312
2011-09-22,2011-09-29,179.7463836669922,184.6266326904297,100,488.02490234375
2011-10-03,2011-10-07,180.1692657470703,183.52943420410156,100,336.016845703125
2011-10-18,2011-10-19,187.41534423828125,192.69561767578125,100,528.02734375
2011-11-09,2011-11-11,197.7130126953125,202.37611389160156,100,466.31011962890625
2011-11-15,2011-12-01,196.91297912597656,182.63795471191406,100,-1427.50244140625
2011-12-08,2011-12-21,178.03201293945312,170.980224609375,100,-705.1788330078125
2011-12-28,2012-01-10,168.9344024658203,168.28292846679688,100,-65.14739990234375
2012-01-16,2012-01-17,162.9683837890625,169.62014770507812,100,665.1763916015625
2012-02-15,2012-02-21,191.24411010742188,192.8213348388672,100,157.72247314453125
2012-02-22,2012-02-23,190.501220703125,191.91844177246094,100,141.72210693359375
2012-02-24,2012-03-12,187.42677307128906,182.53509521484375,100,-489.16778564453125
2012-03-16,2012-03-30,176.5462188720703,171.5745391845703,100,-497.16796875
2012-04-02,2012-04-03,169.2772674560547,172.0545654296875,100,277.72979736328125
2012-04-11,2012-04-12,166.93429565429688,169.90586853027344,100,297.15728759765625
2012-04-19,2012-04-26,169.52871704101562,170.30589294433594,100,77.71759033203125
2012-05-03,2012-05-21,168.88868713378906,158.97959899902344,100,-990.9088134765625
2012-05-22,2012-05-24,157.9738311767578,158.9338836669922,100,96.0052490234375
2012-06-01,2012-06-05,156.63662719726562,160.5911102294922,100,395.44830322265625
2012-06-18,2012-06-19,164.3284454345703,168.56866455078125,100,424.02191162109375
2012-06-21,2012-06-29,164.28273010253906,168.66009521484375,100,437.73651123046875
2012-07-09,2012-07-10,167.2771759033203,169.08297729492188,100,180.58013916015625
2012-07-11,2012-07-30,165.8713836669922,166.7742919921875,100,90.29083251953125
2012-08-23,2012-09-07,181.6093292236328,180.98072814941406,100,-62.860107421875
2012-09-27,2012-10-03,189.6897430419922,193.4042205810547,100,371.44775390625
2012-10-08,2012-10-22,187.30105590820312,186.43243408203125,100,-86.8621826171875
2012-10-23,2012-10-29,185.1409454345703,185.4266815185547,100,28.5736083984375
2012-10-30,2012-11-01,183.60943603515625,184.48948669433594,100,88.00506591796875
2012-11-07,2012-11-27,183.0608367919922,179.8492431640625,100,-321.15936279296875
2012-12-21,2012-12-28,188.63827514648438,192.0670166015625,100,342.8741455078125
2013-01-11,2013-01-16,191.9870147705078,196.89012145996094,100,490.3106689453125
2013-01-29,2013-02-13,201.80465698242188,200.92462158203125,100,-88.0035400390625
2013-02-14,2013-02-20,195.6786346435547,199.96456909179688,100,428.59344482421875
2013-02-25,2013-03-06,195.2900390625,190.92410278320312,100,-436.5936279296875
2013-03-18,2013-04-08,190.70693969726562,180.4435577392578,100,-1026.3381958007812
2013-04-09,2013-04-15,177.5977020263672,181.4036102294922,100,380.5908203125
2013-04-17,2013-04-18,176.8548126220703,178.66061401367188,100,180.58013916015625
2013-04-30,2013-05-02,180.1692657470703,183.52943420410156,100,336.016845703125
2013-05-13,2013-05-15,183.5522918701172,187.20962524414062,100,365.73333740234375
2013-05-22,2013-05-27,187.15248107910156,189.33544921875,100,218.29681396484375
2013-05-31,2013-06-14,184.30661010742188,186.2152862548828,100,190.86761474609375
2013-06-20,2013-06-27,182.4093780517578,189.7240447998047,100,731.4666748046875
2013-07-10,2013-07-11,195.66720581054688,198.87879943847656,100,321.15936279296875
2013-07-25,2013-08-07,203.61045837402344,199.42739868164062,100,-418.30596923828125
2013-08-12,2013-08-14,193.30136108398438,197.7244415283203,100,442.30804443359375
2013-08-16,2013-08-29,188.96971130371094,193.20993041992188,100,424.02191162109375
2013-09-16,2013-09-18,196.98155212402344,199.31309509277344,100,233.154296875
2013-09-25,2013-10-04,194.07855224609375,195.3014678955078,100,122.29156494140625
2013-10-07,2013-10-08,192.93563842773438,193.141357421875,100,20.5718994140625
2013-11-07,2013-11-18,202.5018310546875,199.95314025878906,100,-254.86907958984375
2013-11-20,2013-11-29,197.15298461914062,195.02716064453125,100,-212.5823974609375
2013-12-16,2013-12-20,193.16421508789062,204.61622619628906,100,1145.2011108398438
2014-01-02,2014-01-13,200.01028442382812,201.24462890625,100,123.4344482421875
2014-01-21,2014-01-22,197.27871704101562,199.42739868164062,100,214.8681640625
2014-01-23,2014-02-14,197.90731811523438,187.90679931640625,100,-1000.0518798828125
2014-02-17,2014-02-18,185.67811584472656,185.87240600585938,100,19.42901611328125
2014-02-20,2014-02-21,184.11231994628906,185.49525451660156,100,138.29345703125
2014-02-28,2014-03-04,182.85511779785156,185.82669067382812,100,297.15728759765625
2014-03-25,2014-03-26,200.99319458007812,203.7133331298828,100,272.01385498046875
2014-04-16,2014-04-17,215.16534423828125,219.234130859375,100,406.878662109375
2014-04-25,2014-05-05,216.75399780273438,216.43397521972656,100,-32.00225830078125
2014-05-29,2014-06-03,245.39547729492188,250.3900146484375,100,499.4537353515625
2014-06-04,2014-06-05,246.29837036132812,249.1328125,100,283.4442138671875
2014-06-13,2014-06-17,247.30413818359375,249.16709899902344,100,186.29608154296875
2014-06-18,2014-07-04,243.8411102294922,235.88641357421875,100,-795.4696655273438
2014-07-08,2014-07-16,227.45169067382812,226.22877502441406,100,-122.29156494140625
2014-07-18,2014-07-21,223.26861572265625,228.04600524902344,100,477.73895263671875
2014-08-01,2014-08-12,223.16575622558594,225.0172882080078,100,185.1531982421875
2014-09-15,2014-10-09,229.21177673339844,218.21693420410156,100,-1099.4842529296875
2014-10-16,2014-10-22,212.81094360351562,216.15968322753906,100,334.87396240234375
2014-10-28,2014-10-29,213.50811767578125,217.51974487304688,100,401.1627197265625
2014-11-13,2014-11-17,221.5542449951172,225.2001495361328,100,364.5904541015625
2014-12-01,2014-12-19,219.8055877685547,205.8505859375,100,-1395.5001831054688
2014-12-30,2014-12-31,201.18748474121094,203.701904296875,100,251.44195556640625
2015-01-05,2015-01-15,200.20457458496094,197.55300903320312,100,-265.15655517578125
2015-02-09,2015-02-12,204.9705352783203,207.81639099121094,100,284.5855712890625
2015-02-16,2015-03-03,206.36489868164062,205.90773010253906,100,-45.71685791015625
2015-03-10,2015-03-12,196.38723754882812,197.4501495361328,100,106.29119873046875
2015-03-13,2015-03-18,194.3185577392578,198.55877685546875,100,424.02191162109375
2015-03-19,2015-04-01,195.7014923095703,191.10696411132812,100,-459.45281982421875
2015-04-06,2015-04-07,188.50111389160156,190.37550354003906,100,187.43896484375
2015-04-21,2015-05-04,200.3417205810547,203.65618896484375,100,331.44683837890625
2015-05-07,2015-05-08,199.03880310058594,203.37045288085938,100,433.16497802734375
2015-05-12,2015-05-13,198.57020568847656,202.3189697265625,100,374.87640380859375
2015-05-15,2015-05-18,199.770263671875,203.7933349609375,100,402.30712890625
2015-05-26,2015-06-01,202.20468139648438,206.23916625976562,100,403.448486328125
2015-06-08,2015-06-10,202.3989715576172,207.05064392089844,100,465.167236328125
2015-06-11,2015-06-15,200.50173950195312,206.1248779296875,100,562.3138427734375
2015-07-08,2015-07-10,227.80599975585938,228.99462890625,100,118.8629150390625
2015-07-14,2015-07-15,228.08029174804688,231.1318817138672,100,305.15899658203125
2015-07-27,2015-08-14,229.80609130859375,221.02850341796875,100,-877.7587890625
2015-08-17,2015-08-19,217.31402587890625,218.20550537109375,100,89.14794921875
2015-08-20,2015-09-08,209.4507598876953,193.97567749023438,100,-1547.5082397460938
2015-09-22,2015-09-30,193.815673828125,197.10726928710938,100,329.1595458984375
2015-11-05,2015-11-06,214.09100341796875,217.70262145996094,100,361.16180419921875
2015-11-10,2015-11-19,210.9251251220703,213.66812133789062,100,274.29962158203125
2015-12-07,2015-12-11,217.62261962890625,217.82833862304688,100,20.5718994140625
2016-01-04,2016-01-05,227.5088348388672,229.7603759765625,100,225.15411376953125
2016-01-18,2016-01-19,232.43479919433594,238.54940795898438,100,611.4608764648438
2016-01-20,2016-01-28,229.62322998046875,232.44622802734375,100,282.2998046875
2016-02-02,2016-02-17,228.84605407714844,217.7483367919922,100,-1109.771728515625
2016-04-05,2016-04-06,234.74349975585938,236.29786682128906,100,155.43670654296875
2016-04-25,2016-05-09,232.44622802734375,224.72012329101562,100,-772.6104736328125
2016-05-19,2016-05-25,217.42831420898438,217.42831420898438,100,0.0
2016-06-24,2016-06-29,217.48545837402344,221.01707458496094,100,353.16162109375
2016-08-03,2016-08-05,227.20025634765625,232.2976531982422,100,509.73968505859375
2016-08-10,2016-08-11,229.41751098632812,231.8061981201172,100,238.86871337890625
2016-09-02,2016-09-08,231.634765625,236.2178497314453,100,458.30841064453125
2016-09-29,2016-09-30,245.14402770996094,247.71559143066406,100,257.1563720703125
2016-10-13,2016-10-18,241.64671325683594,247.12127685546875,100,547.4563598632812
2016-10-21,2016-11-21,243.2582244873047,226.64022827148438,100,-1661.7996215820312
2017-01-17,2017-01-30,238.01223754882812,238.82369995117188,100,81.146240234375
2017-03-21,2017-03-24,288.8834228515625,294.12939453125,100,524.59716796875
2017-03-27,2017-03-30,285.98040771484375,290.44921875,100,446.881103515625
2017-05-02,2017-05-10,313.28466796875,310.6673889160156,100,-261.7279052734375
2017-05-19,2017-05-22,301.4669189453125,302.67840576171875,100,121.148681640625
2017-05-23,2017-05-26,298.4267578125,305.6842956542969,100,725.7537841796875
2017-06-30,2017-07-04,315.4447937011719,325.0338439941406,100,958.905029296875
2017-08-10,2017-08-17,362.15576171875,358.21270751953125,100,-394.305419921875
2017-08-29,2017-08-30,350.2237243652344,357.5269470214844,100,730.322265625
2017-09-22,2017-09-25,373.6877746582031,375.58502197265625,100,189.7247314453125
2017-09-26,2017-10-04,374.922119140625,374.3506774902344,100,-57.1441650390625
2017-11-07,2017-11-16,414.5127258300781,413.2098083496094,100,-130.291748046875
2017-12-01,2017-12-05,416.0671081542969,417.712890625,100,164.5782470703125
2018-02-02,2018-02-12,413.4383850097656,418.5357971191406,100,509.7412109375
2018-03-06,2018-03-08,416.40997314453125,416.68426513671875,100,27.42919921875
2018-03-16,2018-03-21,411.47259521484375,410.0325012207031,100,-144.0093994140625
2018-05-17,2018-05-31,432.1822204589844,421.2102355957031,100,-1097.198486328125
2018-06-26,2018-07-03,447.5429992675781,444.0456848144531,100,-349.7314453125
2018-09-03,2018-09-04,561.926025390625,567.7777709960938,100,585.174560546875
2018-09-05,2018-09-06,560.943115234375,576.6696166992188,100,1572.650146484375
2018-09-19,2018-09-21,553.51416015625,556.6000366210938,100,308.587646484375
2018-10-04,2018-10-12,513.054931640625,515.020751953125,100,196.58203125
2018-10-22,2018-10-29,485.8078308105469,497.3055725097656,100,1149.774169921875
2018-12-10,2018-12-12,498.4256286621094,507.6832275390625,100,925.7598876953125
2018-12-24,2018-12-26,497.9227294921875,502.128662109375,100,420.59326171875
2019-02-14,2019-02-15,559.6630249023438,568.920654296875,100,925.762939453125
2019-02-18,2019-02-20,557.7886962890625,564.3032836914062,100,651.458740234375
2019-04-08,2019-04-09,607.6883544921875,610.065673828125,100,237.73193359375
2019-05-08,2019-05-16,594.0648193359375,578.4754638671875,100,-1558.935546875
2019-06-17,2019-06-20,586.2244262695312,592.8304443359375,100,660.601806640625
2019-06-24,2019-06-25,577.1268310546875,592.4190063476562,100,1529.217529296875
2019-07-25,2019-08-08,563.0003662109375,526.815673828125,100,-3618.46923828125
2019-09-03,2019-09-06,551.5255126953125,558.8858642578125,100,736.03515625
2019-09-19,2019-09-20,539.02197265625,573.4465942382812,100,3442.462158203125
2019-12-26,2019-12-27,692.7899169921875,705.1105346679688,100,1232.061767578125
2020-01-28,2020-01-29,672.8345947265625,676.5376586914062,100,370.306396484375
2020-01-30,2020-02-05,660.033935546875,662.2054443359375,100,217.15087890625
2020-02-25,2020-03-25,647.5304565429688,494.7682800292969,100,-15276.217651367188
2020-05-14,2020-05-15,662.690673828125,673.5128784179688,100,1082.220458984375
2020-05-18,2020-05-21,664.9058837890625,665.1366577148438,100,23.077392578125
2020-08-03,2020-08-04,927.1531982421875,992.5015258789062,100,6534.832763671875
2020-09-24,2020-09-25,1006.6234741210938,1016.0841674804688,100,946.0693359375
2020-10-21,2020-10-23,980.5025634765625,975.1722412109375,100,-533.0322265625
2020-10-26,2020-10-30,936.4293212890625,948.1514282226562,100,1172.210693359375
2020-11-02,2020-11-05,866.44287109375,902.232177734375,100,3578.9306640625
2020-11-20,2020-11-23,876.6189575195312,900.2477416992188,100,2362.87841796875
2021-01-27,2021-02-02,874.5421752929688,888.7564086914062,100,1421.42333984375
2021-03-17,2021-03-19,948.543701171875,960.8426513671875,100,1229.89501953125
2021-03-25,2021-03-30,919.0538330078125,936.5216064453125,100,1746.77734375
2021-04-12,2021-04-13,881.9954223632812,891.525390625,100,952.996826171875
2021-06-25,2021-06-30,971.2033081054688,974.0646362304688,100,286.1328125
2021-10-29,2021-11-01,1170.47900390625,1171.1943359375,100,71.533203125
2021-11-02,2021-11-04,1154.1187744140625,1153.2188720703125,100,-89.990234375
2021-11-22,2021-11-25,1090.8702392578125,1150.4959716796875,100,5962.5732421875
2021-12-20,2021-12-21,1050.9967041015625,1066.6414794921875,100,1564.4775390625
2022-01-24,2022-01-31,1097.4005126953125,1101.41552734375,100,401.50146484375
2022-02-24,2022-02-28,1041.0281982421875,1088.931884765625,100,4790.36865234375
2022-03-07,2022-03-09,1033.552001953125,1086.416748046875,100,5286.474609375
2022-05-06,2022-05-17,1209.4295654296875,1167.2022705078125,100,-4222.7294921875
2022-06-15,2022-06-17,1198.1920166015625,1195.2845458984375,100,-290.7470703125
2022-06-20,2022-06-21,1173.6171875,1192.561767578125,100,1894.4580078125
2022-06-22,2022-06-24,1156.333984375,1153.772705078125,100,-256.1279296875
2022-07-01,2022-07-05,1111.6146240234375,1122.9444580078125,100,1132.9833984375
2022-09-26,2022-09-30,1097.1466064453125,1097.331298828125,100,18.46923828125
2023-01-27,2023-01-30,1078.6866455078125,1089.0242919921875,100,1033.7646484375
2023-03-15,2023-03-21,1032.398193359375,1047.4661865234375,100,1506.79931640625
2024-07-22,2024-07-24,1500.675048828125,1495.699951171875,100,-497.509765625
2024-10-03,2024-10-08,1406.9749755859375,1397.3499755859375,100,-962.5
2024-10-09,2024-10-11,1374.5999755859375,1372.0999755859375,100,-250.0
2024-12-20,2024-12-23,1205.300048828125,1222.300048828125,100,1700.0
2025-03-04,2025-03-05,1161.9000244140625,1175.5999755859375,100,1369.9951171875
2025-04-04,2025-04-11,1204.699951171875,1218.949951171875,100,1425.0
2025-07-21,2025-07-23,1428.5999755859375,1424.5999755859375,100,-400.0
2025-07-24,2025-07-29,1402.9000244140625,1417.0999755859375,100,1419.9951171875
2026-01-08,2026-01-09,1470.5999755859375,1475.300048828125,100,470.00732421875
2026-01-13,2026-01-14,1452.800048828125,1458.800048828125,100,600.0
2026-01-19,2026-01-21,1413.5999755859375,1404.5999755859375,100,-900.0
2026-03-04,2026-03-05,1345.0,1389.4000244140625,100,4440.00244140625
2026-04-06,2026-04-08,1304.699951171875,1347.800048828125,100,4310.009765625
